station_id,month,day,temperature,flag,date,city
USC00042319,01,1,51,S,0000-01-01,Death Valley
USC00042319,01,2,51.2,S,0000-01-02,Death Valley
USC00042319,01,3,51.3,S,0000-01-03,Death Valley
USC00042319,01,4,51.4,S,0000-01-04,Death Valley
USC00042319,01,5,51.6,S,0000-01-05,Death Valley
USC00042319,01,6,51.7,S,0000-01-06,Death Valley
USC00042319,01,7,51.9,S,0000-01-07,Death Valley
USC00042319,01,8,52,S,0000-01-08,Death Valley
USC00042319,01,9,52.2,S,0000-01-09,Death Valley
USC00042319,01,10,52.3,S,0000-01-10,Death Valley
USC00042319,01,11,52.5,S,0000-01-11,Death Valley
USC00042319,01,12,52.7,S,0000-01-12,Death Valley
USC00042319,01,13,52.9,S,0000-01-13,Death Valley
USC00042319,01,14,53,S,0000-01-14,Death Valley
USC00042319,01,15,53.2,S,0000-01-15,Death Valley
USC00042319,01,16,53.4,S,0000-01-16,Death Valley
USC00042319,01,17,53.6,S,0000-01-17,Death Valley
USC00042319,01,18,53.7,S,0000-01-18,Death Valley
USC00042319,01,19,53.9,S,0000-01-19,Death Valley
USC00042319,01,20,54.1,S,0000-01-20,Death Valley
USC00042319,01,21,54.3,S,0000-01-21,Death Valley
USC00042319,01,22,54.5,S,0000-01-22,Death Valley
USC00042319,01,23,54.6,S,0000-01-23,Death Valley
USC00042319,01,24,54.8,S,0000-01-24,Death Valley
USC00042319,01,25,55,S,0000-01-25,Death Valley
USC00042319,01,26,55.2,S,0000-01-26,Death Valley
USC00042319,01,27,55.4,S,0000-01-27,Death Valley
USC00042319,01,28,55.6,S,0000-01-28,Death Valley
USC00042319,01,29,55.8,S,0000-01-29,Death Valley
USC00042319,01,30,56,S,0000-01-30,Death Valley
USC00042319,01,31,56.2,S,0000-01-31,Death Valley
USC00042319,02,1,56.4,S,0000-02-01,Death Valley
USC00042319,02,2,56.6,S,0000-02-02,Death Valley
USC00042319,02,3,56.8,S,0000-02-03,Death Valley
USC00042319,02,4,57,S,0000-02-04,Death Valley
USC00042319,02,5,57.2,S,0000-02-05,Death Valley
USC00042319,02,6,57.5,S,0000-02-06,Death Valley
USC00042319,02,7,57.7,S,0000-02-07,Death Valley
USC00042319,02,8,57.9,S,0000-02-08,Death Valley
USC00042319,02,9,58.2,S,0000-02-09,Death Valley
USC00042319,02,10,58.4,S,0000-02-10,Death Valley
USC00042319,02,11,58.7,S,0000-02-11,Death Valley
USC00042319,02,12,58.9,S,0000-02-12,Death Valley
USC00042319,02,13,59.2,S,0000-02-13,Death Valley
USC00042319,02,14,59.5,S,0000-02-14,Death Valley
USC00042319,02,15,59.8,S,0000-02-15,Death Valley
USC00042319,02,16,60.1,S,0000-02-16,Death Valley
USC00042319,02,17,60.3,S,0000-02-17,Death Valley
USC00042319,02,18,60.6,S,0000-02-18,Death Valley
USC00042319,02,19,60.9,S,0000-02-19,Death Valley
USC00042319,02,20,61.2,S,0000-02-20,Death Valley
USC00042319,02,21,61.6,S,0000-02-21,Death Valley
USC00042319,02,22,61.9,S,0000-02-22,Death Valley
USC00042319,02,23,62.2,S,0000-02-23,Death Valley
USC00042319,02,24,62.5,S,0000-02-24,Death Valley
USC00042319,02,25,62.8,S,0000-02-25,Death Valley
USC00042319,02,26,63.2,S,0000-02-26,Death Valley
USC00042319,02,27,63.5,S,0000-02-27,Death Valley
USC00042319,02,28,63.8,S,0000-02-28,Death Valley
USC00042319,02,29,64,S,0000-02-29,Death Valley
USC00042319,03,1,64.1,S,0000-03-01,Death Valley
USC00042319,03,2,64.5,S,0000-03-02,Death Valley
USC00042319,03,3,64.8,S,0000-03-03,Death Valley
USC00042319,03,4,65.1,S,0000-03-04,Death Valley
USC00042319,03,5,65.4,S,0000-03-05,Death Valley
USC00042319,03,6,65.7,S,0000-03-06,Death Valley
USC00042319,03,7,66,S,0000-03-07,Death Valley
USC00042319,03,8,66.3,S,0000-03-08,Death Valley
USC00042319,03,9,66.7,S,0000-03-09,Death Valley
USC00042319,03,10,67,S,0000-03-10,Death Valley
USC00042319,03,11,67.2,S,0000-03-11,Death Valley
USC00042319,03,12,67.5,S,0000-03-12,Death Valley
USC00042319,03,13,67.8,S,0000-03-13,Death Valley
USC00042319,03,14,68.1,S,0000-03-14,Death Valley
USC00042319,03,15,68.4,S,0000-03-15,Death Valley
USC00042319,03,16,68.6,S,0000-03-16,Death Valley
USC00042319,03,17,68.9,S,0000-03-17,Death Valley
USC00042319,03,18,69.2,S,0000-03-18,Death Valley
USC00042319,03,19,69.4,S,0000-03-19,Death Valley
USC00042319,03,20,69.7,S,0000-03-20,Death Valley
USC00042319,03,21,69.9,S,0000-03-21,Death Valley
USC00042319,03,22,70.1,S,0000-03-22,Death Valley
USC00042319,03,23,70.4,S,0000-03-23,Death Valley
USC00042319,03,24,70.6,S,0000-03-24,Death Valley
USC00042319,03,25,70.8,S,0000-03-25,Death Valley
USC00042319,03,26,71.1,S,0000-03-26,Death Valley
USC00042319,03,27,71.3,S,0000-03-27,Death Valley
USC00042319,03,28,71.5,S,0000-03-28,Death Valley
USC00042319,03,29,71.7,S,0000-03-29,Death Valley
USC00042319,03,30,71.9,S,0000-03-30,Death Valley
USC00042319,03,31,72.2,S,0000-03-31,Death Valley
USC00042319,04,1,72.4,S,0000-04-01,Death Valley
USC00042319,04,2,72.6,S,0000-04-02,Death Valley
USC00042319,04,3,72.8,S,0000-04-03,Death Valley
USC00042319,04,4,73.1,S,0000-04-04,Death Valley
USC00042319,04,5,73.3,S,0000-04-05,Death Valley
USC00042319,04,6,73.5,S,0000-04-06,Death Valley
USC00042319,04,7,73.8,S,0000-04-07,Death Valley
USC00042319,04,8,74,S,0000-04-08,Death Valley
USC00042319,04,9,74.3,S,0000-04-09,Death Valley
USC00042319,04,10,74.5,S,0000-04-10,Death Valley
USC00042319,04,11,74.8,S,0000-04-11,Death Valley
USC00042319,04,12,75.1,S,0000-04-12,Death Valley
USC00042319,04,13,75.3,S,0000-04-13,Death Valley
USC00042319,04,14,75.6,S,0000-04-14,Death Valley
USC00042319,04,15,75.9,S,0000-04-15,Death Valley
USC00042319,04,16,76.2,S,0000-04-16,Death Valley
USC00042319,04,17,76.5,S,0000-04-17,Death Valley
USC00042319,04,18,76.8,S,0000-04-18,Death Valley
USC00042319,04,19,77.1,S,0000-04-19,Death Valley
USC00042319,04,20,77.5,S,0000-04-20,Death Valley
USC00042319,04,21,77.8,S,0000-04-21,Death Valley
USC00042319,04,22,78.1,S,0000-04-22,Death Valley
USC00042319,04,23,78.5,S,0000-04-23,Death Valley
USC00042319,04,24,78.8,S,0000-04-24,Death Valley
USC00042319,04,25,79.2,S,0000-04-25,Death Valley
USC00042319,04,26,79.5,S,0000-04-26,Death Valley
USC00042319,04,27,79.9,S,0000-04-27,Death Valley
USC00042319,04,28,80.3,S,0000-04-28,Death Valley
USC00042319,04,29,80.6,S,0000-04-29,Death Valley
USC00042319,04,30,81,S,0000-04-30,Death Valley
USC00042319,05,1,81.4,R,0000-05-01,Death Valley
USC00042319,05,2,81.7,R,0000-05-02,Death Valley
USC00042319,05,3,82.1,R,0000-05-03,Death Valley
USC00042319,05,4,82.5,R,0000-05-04,Death Valley
USC00042319,05,5,82.9,R,0000-05-05,Death Valley
USC00042319,05,6,83.2,R,0000-05-06,Death Valley
USC00042319,05,7,83.6,R,0000-05-07,Death Valley
USC00042319,05,8,84,R,0000-05-08,Death Valley
USC00042319,05,9,84.3,R,0000-05-09,Death Valley
USC00042319,05,10,84.7,R,0000-05-10,Death Valley
USC00042319,05,11,85.1,R,0000-05-11,Death Valley
USC00042319,05,12,85.4,R,0000-05-12,Death Valley
USC00042319,05,13,85.8,R,0000-05-13,Death Valley
USC00042319,05,14,86.1,R,0000-05-14,Death Valley
USC00042319,05,15,86.4,R,0000-05-15,Death Valley
USC00042319,05,16,86.8,R,0000-05-16,Death Valley
USC00042319,05,17,87.1,R,0000-05-17,Death Valley
USC00042319,05,18,87.4,R,0000-05-18,Death Valley
USC00042319,05,19,87.8,R,0000-05-19,Death Valley
USC00042319,05,20,88.1,R,0000-05-20,Death Valley
USC00042319,05,21,88.4,R,0000-05-21,Death Valley
USC00042319,05,22,88.7,R,0000-05-22,Death Valley
USC00042319,05,23,89,R,0000-05-23,Death Valley
USC00042319,05,24,89.3,R,0000-05-24,Death Valley
USC00042319,05,25,89.6,R,0000-05-25,Death Valley
USC00042319,05,26,89.9,R,0000-05-26,Death Valley
USC00042319,05,27,90.1,R,0000-05-27,Death Valley
USC00042319,05,28,90.4,R,0000-05-28,Death Valley
USC00042319,05,29,90.7,R,0000-05-29,Death Valley
USC00042319,05,30,91,R,0000-05-30,Death Valley
USC00042319,05,31,91.3,R,0000-05-31,Death Valley
USC00042319,06,1,91.5,R,0000-06-01,Death Valley
USC00042319,06,2,91.8,R,0000-06-02,Death Valley
USC00042319,06,3,92.1,R,0000-06-03,Death Valley
USC00042319,06,4,92.3,R,0000-06-04,Death Valley
USC00042319,06,5,92.6,R,0000-06-05,Death Valley
USC00042319,06,6,92.9,R,0000-06-06,Death Valley
USC00042319,06,7,93.1,R,0000-06-07,Death Valley
USC00042319,06,8,93.4,R,0000-06-08,Death Valley
USC00042319,06,9,93.7,R,0000-06-09,Death Valley
USC00042319,06,10,94,R,0000-06-10,Death Valley
USC00042319,06,11,94.2,R,0000-06-11,Death Valley
USC00042319,06,12,94.5,R,0000-06-12,Death Valley
USC00042319,06,13,94.8,R,0000-06-13,Death Valley
USC00042319,06,14,95.1,R,0000-06-14,Death Valley
USC00042319,06,15,95.4,R,0000-06-15,Death Valley
USC00042319,06,16,95.7,R,0000-06-16,Death Valley
USC00042319,06,17,95.9,R,0000-06-17,Death Valley
USC00042319,06,18,96.2,R,0000-06-18,Death Valley
USC00042319,06,19,96.5,R,0000-06-19,Death Valley
USC00042319,06,20,96.8,R,0000-06-20,Death Valley
USC00042319,06,21,97.1,R,0000-06-21,Death Valley
USC00042319,06,22,97.4,R,0000-06-22,Death Valley
USC00042319,06,23,97.7,R,0000-06-23,Death Valley
USC00042319,06,24,98,R,0000-06-24,Death Valley
USC00042319,06,25,98.3,R,0000-06-25,Death Valley
USC00042319,06,26,98.5,R,0000-06-26,Death Valley
USC00042319,06,27,98.8,R,0000-06-27,Death Valley
USC00042319,06,28,99.1,R,0000-06-28,Death Valley
USC00042319,06,29,99.4,R,0000-06-29,Death Valley
USC00042319,06,30,99.6,R,0000-06-30,Death Valley
USC00042319,07,1,99.9,R,0000-07-01,Death Valley
USC00042319,07,2,100.2,R,0000-07-02,Death Valley
USC00042319,07,3,100.4,R,0000-07-03,Death Valley
USC00042319,07,4,100.6,R,0000-07-04,Death Valley
USC00042319,07,5,100.9,R,0000-07-05,Death Valley
USC00042319,07,6,101.1,R,0000-07-06,Death Valley
USC00042319,07,7,101.3,R,0000-07-07,Death Valley
USC00042319,07,8,101.5,R,0000-07-08,Death Valley
USC00042319,07,9,101.7,R,0000-07-09,Death Valley
USC00042319,07,10,101.9,R,0000-07-10,Death Valley
USC00042319,07,11,102.1,R,0000-07-11,Death Valley
USC00042319,07,12,102.2,R,0000-07-12,Death Valley
USC00042319,07,13,102.4,R,0000-07-13,Death Valley
USC00042319,07,14,102.5,R,0000-07-14,Death Valley
USC00042319,07,15,102.6,R,0000-07-15,Death Valley
USC00042319,07,16,102.8,R,0000-07-16,Death Valley
USC00042319,07,17,102.9,R,0000-07-17,Death Valley
USC00042319,07,18,102.9,R,0000-07-18,Death Valley
USC00042319,07,19,103,R,0000-07-19,Death Valley
USC00042319,07,20,103.1,R,0000-07-20,Death Valley
USC00042319,07,21,103.1,R,0000-07-21,Death Valley
USC00042319,07,22,103.1,R,0000-07-22,Death Valley
USC00042319,07,23,103.1,R,0000-07-23,Death Valley
USC00042319,07,24,103.2,R,0000-07-24,Death Valley
USC00042319,07,25,103.1,R,0000-07-25,Death Valley
USC00042319,07,26,103.1,R,0000-07-26,Death Valley
USC00042319,07,27,103.1,R,0000-07-27,Death Valley
USC00042319,07,28,103,R,0000-07-28,Death Valley
USC00042319,07,29,103,R,0000-07-29,Death Valley
USC00042319,07,30,102.9,R,0000-07-30,Death Valley
USC00042319,07,31,102.8,R,0000-07-31,Death Valley
USC00042319,08,1,102.7,R,0000-08-01,Death Valley
USC00042319,08,2,102.6,R,0000-08-02,Death Valley
USC00042319,08,3,102.5,R,0000-08-03,Death Valley
USC00042319,08,4,102.4,R,0000-08-04,Death Valley
USC00042319,08,5,102.3,R,0000-08-05,Death Valley
USC00042319,08,6,102.2,R,0000-08-06,Death Valley
USC00042319,08,7,102,R,0000-08-07,Death Valley
USC00042319,08,8,101.9,R,0000-08-08,Death Valley
USC00042319,08,9,101.7,R,0000-08-09,Death Valley
USC00042319,08,10,101.5,R,0000-08-10,Death Valley
USC00042319,08,11,101.4,R,0000-08-11,Death Valley
USC00042319,08,12,101.2,R,0000-08-12,Death Valley
USC00042319,08,13,101,R,0000-08-13,Death Valley
USC00042319,08,14,100.8,R,0000-08-14,Death Valley
USC00042319,08,15,100.6,R,0000-08-15,Death Valley
USC00042319,08,16,100.4,R,0000-08-16,Death Valley
USC00042319,08,17,100.2,R,0000-08-17,Death Valley
USC00042319,08,18,100,R,0000-08-18,Death Valley
USC00042319,08,19,99.8,R,0000-08-19,Death Valley
USC00042319,08,20,99.6,R,0000-08-20,Death Valley
USC00042319,08,21,99.4,R,0000-08-21,Death Valley
USC00042319,08,22,99.1,R,0000-08-22,Death Valley
USC00042319,08,23,98.9,R,0000-08-23,Death Valley
USC00042319,08,24,98.6,R,0000-08-24,Death Valley
USC00042319,08,25,98.4,R,0000-08-25,Death Valley
USC00042319,08,26,98.1,R,0000-08-26,Death Valley
USC00042319,08,27,97.9,R,0000-08-27,Death Valley
USC00042319,08,28,97.6,R,0000-08-28,Death Valley
USC00042319,08,29,97.3,R,0000-08-29,Death Valley
USC00042319,08,30,97.1,R,0000-08-30,Death Valley
USC00042319,08,31,96.8,R,0000-08-31,Death Valley
USC00042319,09,1,96.5,R,0000-09-01,Death Valley
USC00042319,09,2,96.2,R,0000-09-02,Death Valley
USC00042319,09,3,95.9,R,0000-09-03,Death Valley
USC00042319,09,4,95.6,R,0000-09-04,Death Valley
USC00042319,09,5,95.2,R,0000-09-05,Death Valley
USC00042319,09,6,94.9,R,0000-09-06,Death Valley
USC00042319,09,7,94.6,R,0000-09-07,Death Valley
USC00042319,09,8,94.2,R,0000-09-08,Death Valley
USC00042319,09,9,93.8,R,0000-09-09,Death Valley
USC00042319,09,10,93.5,R,0000-09-10,Death Valley
USC00042319,09,11,93.1,R,0000-09-11,Death Valley
USC00042319,09,12,92.7,R,0000-09-12,Death Valley
USC00042319,09,13,92.3,R,0000-09-13,Death Valley
USC00042319,09,14,91.9,R,0000-09-14,Death Valley
USC00042319,09,15,91.5,R,0000-09-15,Death Valley
USC00042319,09,16,91.1,R,0000-09-16,Death Valley
USC00042319,09,17,90.7,R,0000-09-17,Death Valley
USC00042319,09,18,90.3,R,0000-09-18,Death Valley
USC00042319,09,19,89.8,R,0000-09-19,Death Valley
USC00042319,09,20,89.4,R,0000-09-20,Death Valley
USC00042319,09,21,88.9,R,0000-09-21,Death Valley
USC00042319,09,22,88.5,R,0000-09-22,Death Valley
USC00042319,09,23,88,R,0000-09-23,Death Valley
USC00042319,09,24,87.6,R,0000-09-24,Death Valley
USC00042319,09,25,87.1,R,0000-09-25,Death Valley
USC00042319,09,26,86.6,R,0000-09-26,Death Valley
USC00042319,09,27,86.1,R,0000-09-27,Death Valley
USC00042319,09,28,85.7,R,0000-09-28,Death Valley
USC00042319,09,29,85.2,R,0000-09-29,Death Valley
USC00042319,09,30,84.7,R,0000-09-30,Death Valley
USC00042319,10,1,84.2,S,0000-10-01,Death Valley
USC00042319,10,2,83.7,S,0000-10-02,Death Valley
USC00042319,10,3,83.3,S,0000-10-03,Death Valley
USC00042319,10,4,82.8,S,0000-10-04,Death Valley
USC00042319,10,5,82.3,S,0000-10-05,Death Valley
USC00042319,10,6,81.8,S,0000-10-06,Death Valley
USC00042319,10,7,81.3,S,0000-10-07,Death Valley
USC00042319,10,8,80.9,S,0000-10-08,Death Valley
USC00042319,10,9,80.4,S,0000-10-09,Death Valley
USC00042319,10,10,79.9,S,0000-10-10,Death Valley
USC00042319,10,11,79.4,S,0000-10-11,Death Valley
USC00042319,10,12,79,S,0000-10-12,Death Valley
USC00042319,10,13,78.5,S,0000-10-13,Death Valley
USC00042319,10,14,78,S,0000-10-14,Death Valley
USC00042319,10,15,77.6,S,0000-10-15,Death Valley
USC00042319,10,16,77.1,S,0000-10-16,Death Valley
USC00042319,10,17,76.6,S,0000-10-17,Death Valley
USC00042319,10,18,76.2,S,0000-10-18,Death Valley
USC00042319,10,19,75.7,S,0000-10-19,Death Valley
USC00042319,10,20,75.3,S,0000-10-20,Death Valley
USC00042319,10,21,74.8,S,0000-10-21,Death Valley
USC00042319,10,22,74.3,S,0000-10-22,Death Valley
USC00042319,10,23,73.9,S,0000-10-23,Death Valley
USC00042319,10,24,73.4,S,0000-10-24,Death Valley
USC00042319,10,25,73,S,0000-10-25,Death Valley
USC00042319,10,26,72.5,S,0000-10-26,Death Valley
USC00042319,10,27,72.1,S,0000-10-27,Death Valley
USC00042319,10,28,71.6,S,0000-10-28,Death Valley
USC00042319,10,29,71.1,S,0000-10-29,Death Valley
USC00042319,10,30,70.7,S,0000-10-30,Death Valley
USC00042319,10,31,70.2,S,0000-10-31,Death Valley
USC00042319,11,1,69.7,S,0000-11-01,Death Valley
USC00042319,11,2,69.3,S,0000-11-02,Death Valley
USC00042319,11,3,68.8,S,0000-11-03,Death Valley
USC00042319,11,4,68.3,S,0000-11-04,Death Valley
USC00042319,11,5,67.8,S,0000-11-05,Death Valley
USC00042319,11,6,67.3,S,0000-11-06,Death Valley
USC00042319,11,7,66.9,S,0000-11-07,Death Valley
USC00042319,11,8,66.4,S,0000-11-08,Death Valley
USC00042319,11,9,65.9,S,0000-11-09,Death Valley
USC00042319,11,10,65.4,S,0000-11-10,Death Valley
USC00042319,11,11,64.9,S,0000-11-11,Death Valley
USC00042319,11,12,64.4,S,0000-11-12,Death Valley
USC00042319,11,13,63.9,S,0000-11-13,Death Valley
USC00042319,11,14,63.3,S,0000-11-14,Death Valley
USC00042319,11,15,62.8,S,0000-11-15,Death Valley
USC00042319,11,16,62.3,S,0000-11-16,Death Valley
USC00042319,11,17,61.8,S,0000-11-17,Death Valley
USC00042319,11,18,61.3,S,0000-11-18,Death Valley
USC00042319,11,19,60.8,S,0000-11-19,Death Valley
USC00042319,11,20,60.3,S,0000-11-20,Death Valley
USC00042319,11,21,59.8,S,0000-11-21,Death Valley
USC00042319,11,22,59.3,S,0000-11-22,Death Valley
USC00042319,11,23,58.8,S,0000-11-23,Death Valley
USC00042319,11,24,58.3,S,0000-11-24,Death Valley
USC00042319,11,25,57.9,S,0000-11-25,Death Valley
USC00042319,11,26,57.4,S,0000-11-26,Death Valley
USC00042319,11,27,56.9,S,0000-11-27,Death Valley
USC00042319,11,28,56.5,S,0000-11-28,Death Valley
USC00042319,11,29,56,S,0000-11-29,Death Valley
USC00042319,11,30,55.6,S,0000-11-30,Death Valley
USC00042319,12,1,55.2,S,0000-12-01,Death Valley
